+----+----------------------------+-----------------------+--------------------------+--------------------------+-------------------------+--------------------+-----------------------+-------------------+
|Hour|avg_HourlyDryBulbTemperature|avg_HourlyPrecipitation|avg_HourlyRelativeHumidity|avg_HourlySeaLevelPressure|avg_HourlyStationPressure|avg_HourlyVisibility|avg_HourlyWindGustSpeed|avg_HourlyWindSpeed|
+----+----------------------------+-----------------------+--------------------------+--------------------------+-------------------------+--------------------+-----------------------+-------------------+
|   0|                       46.32|                   0.01|                     81.43|                     30.02|                    29.18|                7.93|                  27.42|               7.61|
|   1|                       45.59|                   0.01|                     82.42|                     30.02|                    29.18|                7.77|                  27.89|               7.49|
|   2|                        45.3|                   0.01|                      83.2|                     30.01|                    29.18|                7.59|                  27.57|               7.46|
|   3|                        45.1|                   0.01|                     83.95|                     30.02|                    29.17|                7.45|                  27.88|               7.41|
|   4|                       44.94|                   0.01|                     84.68|                     30.02|                    29.18|                7.26|                  27.78|               7.34|
|   5|                        45.2|                   0.01|                     84.13|                     30.03|                    29.19|                7.26|                  27.88|               7.67|
|   6|                       46.46|                   0.01|                      81.9|                     30.04|                    29.19|                7.34|                  27.52|               8.34|
|   7|                       47.97|                   0.01|                     78.37|                     30.04|                    29.19|                7.43|                  27.18|               9.28|
|   8|                       49.84|                   0.01|                     74.05|                     30.05|                     29.2|                 7.8|                  27.41|              10.14|
|   9|                       51.81|                   0.01|                     70.41|                     30.05|                     29.2|                8.03|                  26.89|              10.68|
|  10|                       53.22|                   0.01|                      67.6|                     30.04|                     29.2|                8.16|                  26.83|              11.01|
|  11|                        54.6|                   0.01|                     65.35|                     30.03|                    29.18|                8.26|                  26.74|              11.35|
|  12|                       54.84|                   0.01|                     63.52|                     30.02|                    29.17|                8.31|                  27.05|              11.72|
|  13|                       55.28|                   0.01|                     62.34|                      30.0|                    29.17|                8.36|                  27.15|              11.87|
|  14|                       55.33|                   0.01|                     62.89|                      30.0|                    29.15|                8.33|                  27.37|              11.78|
|  15|                       55.02|                   0.01|                     63.53|                      30.0|                    29.16|                8.26|                  28.14|              11.55|
|  16|                       53.56|                   0.02|                     65.98|                      30.0|                    29.16|                8.15|                   27.9|              10.92|
|  17|                       52.16|                   0.01|                     68.41|                     30.01|                    29.16|                8.32|                  28.14|              10.03|
|  18|                       50.61|                   0.01|                     71.27|                     30.01|                    29.17|                8.35|                  27.81|                9.2|
